"ident",  "country", "latitude_deg", "longitude_deg"
AARTA, ALABAMA, 34.6058, -87.2733
ACMES, ALABAMA, 30.9242, -88.3694
ACORI, ALABAMA, 31.7731, -85.8581
ADEEN, ALABAMA, 32.7253, -86.33
ADOKY, ALABAMA, 32.1608, -88.2297
ADONY, ALABAMA, 32.5244, -85.4361
ADTOP, ALABAMA, 32.3875, -88.0369
ADWEL, ALABAMA, 31.2564, -85.9639
ADZIN, ALABAMA, 33.1767, -86.3822
ADZUY, ALABAMA, 31.8833, -85.1278
AFENY, ALABAMA, 32.0161, -85.1181
AFLUC, ALABAMA, 31.3839, -85.5286
AFPAD, ALABAMA, 32.54, -87.8706
AIRMN, ALABAMA, 32.5236, -85.7728
AJOXO, ALABAMA, 31.7528, -86.3906
AKGOS, ALABAMA, 33.1072, -87.0306
ALANE, ALABAMA, 31.2533, -86.1792
ALBER, ALABAMA, 34.3725, -86.3272
ALEPE, ALABAMA, 33.7856, -86.6269
ALICE, ALABAMA, 32.9842, -87.9367
ALOON, ALABAMA, 32.0697, -86.5281
ALRIC, ALABAMA, 33.1892, -86.8772
AMUJE, ALABAMA, 34.9678, -85.6525
AMUXY, ALABAMA, 34.4575, -86.7903
AMUZE, ALABAMA, 34.5639, -85.6542
ANDAL, ALABAMA, 31.2628, -86.4767
ANDER, ALABAMA, 32.6425, -85.6011
ANGLS, ALABAMA, 32.3292, -85.4881
ANTUH, ALABAMA, 31.5528, -88.4267
ANWAF, ALABAMA, 32.4356, -86.755
ANXUG, ALABAMA, 34.5297, -85.7083
APEKE, ALABAMA, 34.3894, -85.805
APEPE, ALABAMA, 34.7397, -85.9608
ARBEE, ALABAMA, 34.1456, -86.2667
ARDIN, ALABAMA, 33.1625, -87.6992
ARNNY, ALABAMA, 32.3444, -86.9911
ARTTS, ALABAMA, 31.3036, -85.6469
ARUYY, ALABAMA, 31.1486, -87.2697
ASESE, ALABAMA, 33.0372, -87.3203
ATHEN, ALABAMA, 34.4628, -86.9497
ATUYO, ALABAMA, 34.7444, -86.9431
AUBIE, ALABAMA, 32.51, -85.4383
AWAGE, ALABAMA, 30.35, -87.7008
AWELU, ALABAMA, 33.8978, -86.2458
AWIMY, ALABAMA, 33.0161, -87.6878
AWPOJ, ALABAMA, 34.2828, -86.4164
AXEJA, ALABAMA, 31.0422, -87.9503
AXSIS, ALABAMA, 30.9456, -88.0756
AYOTE, ALABAMA, 34.7117, -87.6175
AYUCE, ALABAMA, 33.5911, -86.9211
AYUCI, ALABAMA, 33.1722, -86.3639
AZEBE, ALABAMA, 31.0103, -87.1653
AZZOG, ALABAMA, 32.7858, -85.25
BACAL, ALABAMA, 34.3553, -87.7186
BAIZE, ALABAMA, 31.7758, -85.2094
BAKAY, ALABAMA, 30.7858, -88.2364
BAKRD, ALABAMA, 34.2703, -85.6461
BALDO, ALABAMA, 32.5019, -86.5686
BAMTE, ALABAMA, 33.4006, -86.7742
BANBI, ALABAMA, 31.8344, -85.7597
BASKN, ALABAMA, 33.6511, -86.7469
BASME, ALABAMA, 31.2486, -85.3661
BATGE, ALABAMA, 32.3139, -88.1169
BAYAS, ALABAMA, 30.8583, -88.3844
BBABE, ALABAMA, 34.7908, -85.575
BEATS, ALABAMA, 34.6597, -87.6864
BEBZO, ALABAMA, 34.9517, -86.5367
BEEZE, ALABAMA, 32.5669, -85.5208
BEING, ALABAMA, 32.5286, -86.5925
BEKDE, ALABAMA, 32.9542, -87.3286
BEKPE, ALABAMA, 34.5989, -86.9467
BEKTE, ALABAMA, 33.0342, -86.6042
BENTO, ALABAMA, 32.26, -86.8286
BERFY, ALABAMA, 33.4703, -86.7472
BESOM, ALABAMA, 33.5861, -87.6564
BESSR, ALABAMA, 33.2619, -87.1458
BEVAY, ALABAMA, 34.3206, -87.5989
BFOLO, ALABAMA, 34.0592, -86.525
BGGNS, ALABAMA, 32.5753, -86.0086
BICAY, ALABAMA, 31.3792, -86.7819
BIDPE, ALABAMA, 33.7181, -86.7469
BILLP, ALABAMA, 32.8106, -85.9575
BIPDE, ALABAMA, 32.0272, -87.3397
BIPOL, ALABAMA, 32.6231, -86.3278
BISBE, ALABAMA, 34.8492, -86.7614
BITZY, ALABAMA, 31.4031, -85.5097
BIZKT, ALABAMA, 34.0878, -85.6378
BLANG, ALABAMA, 33.185, -88.0339
BLKEY, ALABAMA, 34.0236, -85.9767
BLLBO, ALABAMA, 32.4286, -86.2636
BLOOD, ALABAMA, 31.8317, -86.1061
BNJMN, ALABAMA, 32.5481, -86.0242
BOAZE, ALABAMA, 34.1861, -86.2122
BOGGA, ALABAMA, 33.5339, -85.9308
BOGME, ALABAMA, 32.2661, -86.9256
BOLAY, ALABAMA, 34.8275, -86.7619
BOSAC, ALABAMA, 34.4081, -86.7869
BOTAY, ALABAMA, 32.5103, -87.1211
BOUNT, ALABAMA, 34.0619, -86.9156
BOVRE, ALABAMA, 32.9281, -86.9733
BOWIN, ALABAMA, 32.5875, -86.4642
BOYDD, ALABAMA, 32.6978, -88.3492
BRADS, ALABAMA, 34.7206, -87.855
BRATT, ALABAMA, 30.7692, -87.6758
BRINS, ALABAMA, 32.1372, -88.1717
BROOS, ALABAMA, 34.6939, -85.6792
BUPGY, ALABAMA, 33.1475, -87.6836
BUPME, ALABAMA, 34.6392, -86.0517
BURIN, ALABAMA, 30.9786, -88.3797
BURSE, ALABAMA, 31.5811, -87.1564
BUSAY, ALABAMA, 32.8708, -87.3369
BUSSA, ALABAMA, 32.4319, -85.6383
BWANA, ALABAMA, 32.8594, -86.5583
CABAS, ALABAMA, 34.6258, -87.3022
CABKI, ALABAMA, 32.8069, -86.86
CABTA, ALABAMA, 31.1767, -85.2825
CABVU, ALABAMA, 33.0019, -86.6956
CACEE, ALABAMA, 32.4381, -88.2944
CADBO, ALABAMA, 33.9233, -88.1058
CADIP, ALABAMA, 32.1689, -86.8481
CAKLI, ALABAMA, 31.8889, -87.3375
CAKPA, ALABAMA, 34.7728, -85.9275
CALCO, ALABAMA, 34.345, -86.0192
CAMKU, ALABAMA, 33.4494, -85.5808
CAMPP, ALABAMA, 33.1028, -85.7475
CAMUV, ALABAMA, 32.9192, -86.8531
CANUG, ALABAMA, 33.2233, -85.7111
CAPOG, ALABAMA, 33.0708, -87.7625
CAPUN, ALABAMA, 33.7856, -86.9042
CAREM, ALABAMA, 34.6047, -86.0836
CASDO, ALABAMA, 32.0458, -85.1217
CATGO, ALABAMA, 34.3783, -86.3278
CATLN, ALABAMA, 31.3072, -87.5797
CATRN, ALABAMA, 33.5233, -87.4922
CAVPU, ALABAMA, 34.5761, -86.6617
CAYAP, ALABAMA, 33.3242, -87.6522
CAYAT, ALABAMA, 30.7672, -88.3083
CECAB, ALABAMA, 34.5061, -86.785
CECAL, ALABAMA, 32.3764, -85.9392
CECAP, ALABAMA, 30.8986, -88.2364
CECAV, ALABAMA, 33.9086, -87.57
CEDLO, ALABAMA, 31.7831, -85.1236
CEGON, ALABAMA, 33.9172, -86.2047
CEKLA, ALABAMA, 33.4653, -86.2942
CEKSU, ALABAMA, 33.5261, -88.2186
CELUT, ALABAMA, 31.9417, -86.0753
CEMPO, ALABAMA, 33.4708, -86.9167
CEPET, ALABAMA, 34.0994, -86.1617
CESRO, ALABAMA, 34.3156, -88.0908
CESVA, ALABAMA, 31.265, -85.9711
CEVOM, ALABAMA, 32.5819, -86.64
CEVUN, ALABAMA, 31.4964, -88.2836
CEWFA, ALABAMA, 33.55, -86.9331
CEXUK, ALABAMA, 31.5756, -87.8767
CEYLU, ALABAMA, 31.3675, -85.7989
CFBCN, ALABAMA, 32.4111, -85.4403
CFBCR, ALABAMA, 32.3217, -86.6281
CFCEO, ALABAMA, 34.7453, -86.8261
CFDRP, ALABAMA, 32.3922, -85.1367
CFFDH, ALABAMA, 33.6606, -86.7425
CFFDJ, ALABAMA, 33.4692, -86.8261
CFFDK, ALABAMA, 33.5403, -86.8844
CFFGR, ALABAMA, 31.5294, -85.5936
CFJBX, ALABAMA, 32.6894, -85.0967
CFLRS, ALABAMA, 33.5644, -86.9303
CFLSG, ALABAMA, 31.4892, -85.6472
CFLSL, ALABAMA, 30.8486, -88.3764
CFMBX, ALABAMA, 32.4097, -85.4403
CFMBZ, ALABAMA, 31.1064, -85.2008
CFNXP, ALABAMA, 33.6519, -86.6936
CFPVF, ALABAMA, 33.5819, -86.6361
CFRZN, ALABAMA, 34.1167, -85.7761
